M model,Adv Model,Dataset,Baseline,MM Results,Average MM,Net Gain,Avm Net Gain,Switched Correct,Switched Incorrect,T,Avg. iterations,Max iterations,Contradictions Corrected,,Notes,Model Parameters,Qwen3,Model,GPT,Model,Llama 3
MINROW,2360,,50.13,48.26,48.69,-1.86,-1.44,11.86,13.73,,,,,,,,,,,,
,,,1190,1159,1157,-31,-33,294,325,,4.18,55,40,1280,,,,,,,
,2360,,50.42,49.11,49.03,-1.31,-1.4,12.46,13.77,,,,,,,,,,,,
123,,CommonsenseQA 2.0 (2541),1320,1362,1368,42,48,370,328,,4.22,0,0,1,,,,,,,
MAXROW,2541,,51.95,53.6,53.84,1.65,1.89,14.56,12.91,,,,,,,,,,,,
,,,1320,1365,1375,45,55,364,319,,4.17,0,0,2,,,,,,,
,2541,,51.95,53.72,54.11,1.77,2.16,14.33,12.55,,,,,,,,,,,,
142,,ETHICS Commonsense (3964),1984,2361,2364,377,380,869,492,,4.29,123,99,2336,,,,,,,
,3964,,50.05,59.56,59.64,9.51,9.59,21.92,12.41,,,,,,,,,,,,
,,,2027,2383,2394,356,367,859,503,,4.28,131,106,2419,,,,,,,
,3964,,51.14,60.12,60.39,8.98,9.26,21.67,12.69,,,,,,,,,,,,
,,ETHICS Justice (2052),1179,1155,1165,-24,-14,202,226,,3.76,13,16,553,,,,,,,
,2052,,57.46,56.29,56.77,-1.17,-0.68,9.84,11.01,,,,,,,,,,,,
,,,1172,1144,1157,-28,-15,203,231,,3.77,20,17,589,,,,,,,
,2052,,57.12,55.75,56.38,-1.36,-0.73,9.89,11.26,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Llama 3.3 8B,Llama 3.3 8B,TruthfulQA (790),387,384,378,-3,-9,12,15,,3.28,3,3,24,,,,,,,
AVG ITER,790,,48.99,48.61,47.85,-0.38,-1.14,1.52,1.9,,,,,,,,,,,,
3.56,,,414,407,407,-7,-7,17,24,,3.34,4,5,30,,,,,,,
AVG ACC,790,,52.41,51.52,51.52,-0.89,-0.89,2.15,3.04,,,,,,,,,,,,
-0.44,2360,Scruples (2360),1152,1160,1162,8,10,69,61,,3.53,17,14,113,,,,,,,
MINROW,2360,,48.81,49.15,49.24,0.34,0.42,2.92,2.58,,,,,,,,,,,,
145,2541,CommonsenseQA 2.0 (2541),1535,1569,1576,34,41,315,281,,3.75,7,9,62,,,,,,,
MAXROW,2541,,60.41,61.75,62.02,1.34,1.61,12.4,11.06,,,,,,,,,,,,
156,3964,ETHICS Commonsense (3964),2629,2492,2503,-137,-126,261,398,,3.77,0,1,3,,,,,,,
,3964,,66.32,62.87,63.14,-3.46,-3.18,6.58,10.04,,,,,,,,,,,,
,2052,ETHICS Justice (2052),1221,1229,1233,8,12,179,181,,3.71,0,0,0,,,,,,,
